0,25808,26310,30971,28980,27608,24118,27414,27643,28714,26641,26173,22347,21375,24837,26414,24088,24257,20561,21498,22884,23576,25184,22837,22839
30,23661,24941,29184,28906,27171,23378,25618,29216,27137,26612,24794,21137,20067,22571,23922,21941,22500,19420,19675,21594,22376,24357,22073,21280
62,21720,25608,28318,26878,25067,21837,24808,24520,24910,24176,23198,20631,18504,22875,22216,21659,21571,18039,18110,19639,21800,23463,20037,21500
92,21433,24084,29453,26531,24339,21512,23763,24678,25386,23231,22553,20086,19408,22529,22718,22688,21392,17933,18096,20720,22235,22814,20124,20939
122,21853,23212,28080,24992,25471,20929,23439,25024,23880,22447,21827,19890,18661,22792,22731,21559,21359,18022,17916,20161,20790,24041,20947,20718
152,21525,23308,27014,25827,23961,20680,21833,23790,24175,23220,21810,18882,18739,21820,23410,22359,21441,18190,17580,20000,20520,23451,20239,21143
182,20482,22802,27220,24675,24059,20098,21443,23449,22755,22461,21576,18737,18439,22386,22573,21886,20698,18873,19151,20339,20404,24202,21306,21061
212,20688,22518,27341,25337,23133,19398,22214,22216,22531,22749,21584,18680,18420,22002,22290,22149,21935,18520,17304,20582,20527,25251,21147,20859
242,20765,22847,25631,23702,23663,19429,22406,22296,21853,23486,21141,18400,17810,21833,23398,21392,20708,18122,17537,19504,20308,24900,20608,22084
272,21571,24896,26443,24920,23851,20657,22096,24475,25788,22629,21818,19069,18314,22090,22963,22061,21161,18039,18702,19380,20271,22967,22559,21269
302,21765,24461,29035,27676,23531,20212,21788,24612,23978,23633,21555,18831,17822,22071,21886,21661,21382,17667,17994,19833,20406,24184,21161,21522
332,21571,23678,26967,25090,24039,21047,23114,24671,25478,23314,21651,19294,18447,22239,22606,21427,21533,18188,18194,20010,20996,24063,21363,21388
362,20943,25082,29425,23927,24380,20845,23882,24665,24910,23475,21176,19316,17641,21245,22600,21029,20794,17796,18390,19590,21165,23939,21294,21767
392,24320,23012,29063,24269,24449,21812,24743,25339,24882,22631,22724,19386,18004,22280,22655,21698,22116,18573,18220,20435,21790,23500,22310,21439
422,24296,24463,29216,27322,25131,22143,23569,25180,24753,24759,23200,19955,17998,22286,22682,22224,21702,17869,17802,19688,21582,25280,23051,21198
452,26359,25433,28637,28739,25812,22202,22825,26071,25390,25316,24782,20978,18471,22647,22416,21573,21643,19304,18694,20986,21696,25986,21849,21873
482,27149,27267,29582,26435,26518,23265,26147,24763,26341,23639,24455,21759,17755,23094,22967,22218,22112,19000,18573,21035,20735,25251,22437,21816
512,27308,26437,30031,29312,25367,23369,30045,29924,30006,25504,26075,23369,18402,22527,22733,22590,21810,18837,18771,20653,22057,24351,21353,22102
542,27194,27555,31004,29373,26612,23512,29035,28345,28192,27480,27484,23175,18655,23214,23457,23022,22641,19010,19388,21155,22124,25251,21804,22184
572,28945,33341,38414,29433,29198,25065,27445,29684,33527,29143,29361,23116,19796,23498,23643,22161,22569,18686,19775,21029,21894,25598,21802,22255
602,27675,30057,31980,29269,29571,26147,28210,32608,35000,29531,29935,26118,19088,24169,23639,23012,23686,19410,20329,20339,21184,25973,22463,22653
632,30404,36010,35243,32286,28843,26967,32096,34818,33465,34261,29716,26873,19647,23804,24445,22908,23688,20027,20084,21922,21910,26608,23267,22580
662,29843,30649,34751,34771,33373,28833,31069,32282,32349,31592,29273,27755,19573,23984,25053,24408,23371,20606,19086,21171,22847,26598,22867,23249
692,32729,36855,36747,32357,34873,27006,35798,39408,36686,32224,33633,27961,19780,24224,24886,23818,23939,20286,20178,21533,21822,25571,23986,22433
722,34622,36282,37822,35320,33212,28767,38369,40476,35767,36169,33296,31473,19869,24029,25086,24137,24120,20451,20782,21963,22365,26776,22796,22576
752,34651,37400,45249,38535,33280,29943,38625,46347,38990,34745,37635,31955,20357,24496,25110,24382,23114,20506,21314,22702,22402,25161,23935,23516
782,36584,36910,39567,38084,33306,31575,42975,42367,47829,37908,38327,35333,21471,25492,25892,24865,24218,20939,21084,22012,23775,27392,23514,24263
812,38973,40024,41016,39106,35453,34425,42847,51131,47388,43296,39498,36094,20345,24951,26143,25578,25837,20729,21108,22251,25980,27892,23773,23669
842,40922,40849,42441,39814,38776,34549,45839,51506,48412,44047,40076,37296,20631,26080,25376,25884,25586,21447,21569,23080,24237,29684,24602,23918
872,42720,51112,44549,42504,40835,37867,46216,49145,48875,41802,43822,39520,23218,26082,25412,26859,26255,21855,21165,23706,24029,29457,25053,24973
902,39376,45227,55061,47439,42508,39967,50998,52373,53876,48002,42900,39043,22867,26008,26929,26578,25447,21588,22373,24137,24633,27833,23867,24376
932,43037,44035,51235,53182,45939,38310,52975,62653,55002,48980,49551,41302,22616,26720,27741,27159,26873,22500,23459,23996,25516,28400,24857,24449
962,45784,47192,53984,46267,41867,40212,58598,55504,58024,55706,51967,43639,21967,26578,28375,25329,26786,22637,22084,23731,26822,27445,25931,24559
992,42567,46782,53222,50282,46247,42692,55002,61129,62733,55276,55469,51547,23857,27412,29243,27808,26549,23516,24708,24651,26353,28310,26149,25529
1022,43820,49639,50688,47371,44788,42288,60598,64696,63741,59694,53831,50469,23941,27694,28804,28053,27163,23802,24125,25596,26402,28945,26673,25963
1052,44657,48692,53729,56339,46810,42718,67318,71855,73300,53696,55039,49020,24767,28827,30282,28073,27925,23939,25610,25288,26525,29345,26857,25637
1082,49373,47282,49606,53033,45890,42586,67243,65465,68218,65794,58427,55235,26712,29333,29541,29971,28618,25194,24543,26759,27631,31702,27667,27127
1112,46627,50559,52296,52653,47759,43475,67418,74518,75765,63714,61212,58465,26457,29829,30245,29649,30437,25412,25765,26990,27812,29910,28704,27300
1142,45720,50920,54998,55294,48435,44806,75212,73218,76878,66106,68720,58618,26094,30667,30225,31669,29929,26724,25839,28337,30284,32496,29231,28361
1172,48178,49782,55708,48720,49216,42531,74004,76527,84216,66429,67661,60900,27261,32637,32880,31561,32075,26371,27776,26918,30788,32061,29182,28418
1202,46816,49898,53896,51486,51116,43394,79963,80078,82196,72969,77216,62396,28639,31496,34751,33518,31902,28055,28488,31265,28459,31802,32112,30453
1232,48571,52000,53457,55365,50671,44612,82106,86080,83843,75175,77086,66161,29006,32920,35947,34516,34016,28759,28257,30420,32796,35222,31296,30584
1262,50527,54241,55794,53749,49127,45163,82794,84820,90720,79390,75955,69880,30833,34584,33896,35610,33737,31059,29057,30702,31614,34380,30741,31333
1292,45949,51535,51565,55539,51388,46422,77412,89065,83749,77237,79290,67118,29741,35853,37231,35159,34484,29949,30790,31859,34727,34284,32378,31975
1322,45182,55496,53906,54129,49110,45557,83455,86239,89812,79059,77888,72741,33208,38729,37963,35892,36578,33088,32175,34245,35659,35525,33506,31712
1352,51886,54671,60700,53231,49882,44504,86778,87978,88200,81788,85333,75690,33206,39588,40565,41108,39718,33171,33143,34969,38157,35384,33178,34724
1382,46886,53873,59925,55045,50539,46412,84935,90006,88724,83367,84490,74455,35073,39457,42918,42161,39080,34490,36275,33325,39690,37241,36792,35924
1412,45794,49900,53647,56412,48196,44918,87275,85839,89082,82984,80727,73882,35882,38496,39561,42876,40563,34867,33476,38175,37571,40771,35008,36012
