0,42331,42541,43408,43606,37776,35676,38745,40851,43531,49704,51414,44551,52567,58920,60788,45235,44665,38743,32080,34125,37082,38524,36025,33553
30,40886,40871,46929,40739,35857,34249,37037,39759,39698,47429,48951,42943,48749,55437,57837,40275,41741,37159,28082,32194,34653,36796,34053,31235
60,43425,42476,41947,41486,36388,32696,37039,38825,39569,46292,46914,42604,46402,54057,53643,38433,40227,33973,29206,30900,34816,35018,30655,30176
90,39204,40708,41404,38431,34875,31975,34871,38855,40388,43982,44292,40045,46684,55202,52549,36029,38559,33235,26949,32016,33559,32751,30790,29831
120,39337,39967,37637,37831,33365,30975,34237,34976,36357,43916,44008,38914,42343,50720,53010,35971,37606,31918,26680,29602,32367,31698,29804,27873
150,35620,35875,37269,37375,33176,31386,34239,36420,37373,42347,42616,37929,44624,50504,50939,35057,38486,32324,24378,28835,33957,33565,29006,28527
180,36822,35945,38449,36108,32624,30665,32857,35410,35308,41575,43586,37718,43982,49345,50212,35963,38167,31347,26033,29449,31969,32614,29410,28555
210,33839,36402,37504,37073,32282,30061,33857,33812,36400,42424,43253,37216,42733,48763,50308,35088,37065,31425,25653,30902,31984,32596,29351,28904
240,34284,34231,38529,35184,31025,29749,32057,35635,36665,40790,41737,36600,43175,48359,49508,34631,35818,30027,25804,28688,31427,32414,28451,28694
270,36751,38931,37706,35973,32584,29978,32910,33788,35257,41755,42667,36951,43551,46367,47600,34208,35916,29737,25714,30025,30333,31671,29655,28429
300,37386,36053,38065,35586,32031,30465,32116,33676,34153,40622,40580,36847,41608,47765,48843,32969,35876,30490,25682,29998,31449,31782,29496,28114
330,38586,36767,44255,37408,32333,29904,33371,34131,36402,41751,44151,36667,41761,49602,47406,34039,35847,30231,26573,29275,31671,32069,29045,28420
360,35567,37016,36606,36947,33808,31110,34231,32549,38776,44706,43525,38953,42010,46820,49547,32971,35592,30129,26745,29053,31280,32243,29741,28359
390,40347,36584,39216,40486,34376,33237,32880,36692,37461,44743,43167,39447,41655,49584,51302,34137,36239,30029,25853,28882,32669,32429,30239,28620
420,38947,43651,41945,42124,34055,32584,33155,37443,40257,44839,46122,40825,43235,46180,49347,34455,38320,31175,25988,31424,33294,32094,29698,28851
450,37861,39341,42171,40757,36722,33955,34065,40543,42259,49339,45118,40610,43069,47157,49535,34243,36408,30253,27004,31347,30453,32549,30004,29878
480,42527,45398,48318,41175,38863,34882,40108,40071,44006,48676,50092,42175,42894,48157,49243,35312,37494,30255,26678,30094,32608,33606,30437,28778
510,40239,39047,48184,44904,38794,36637,36476,43169,46378,48829,52078,45839,43518,48427,47845,35051,37029,31100,28192,29892,30112,32473,31908,28273
540,41365,48218,44965,42553,38571,37845,39720,41622,43965,53771,52824,45465,43184,48278,49169,35167,37018,30639,26920,32067,32075,33494,31045,29618
570,44163,45900,48800,46890,42033,39196,40488,46873,50516,52118,52684,49051,44218,47676,48743,36624,36582,31869,28037,31225,31684,33712,31694,29227
600,51347,47616,47004,44778,42592,40424,44045,46327,43363,56143,57924,49108,43494,49235,49563,36549,38522,32633,27504,30794,32506,33353,31422,29996
630,50543,47657,56525,49633,43071,39618,43051,44314,47155,58137,63347,49684,42024,47927,52027,37431,36622,31606,26755,29875,31541,34620,32965,29667
660,47320,49763,57496,50218,46106,43106,45514,58625,50337,60222,62933,53620,45800,49918,50724,36718,39380,32806,28365,31978,33106,34571,32690,30978
690,56443,49757,50647,53225,47222,43055,51720,50480,53147,58571,61310,57731,41759,46151,51241,38473,37961,33102,28800,32294,35322,36053,33478,31455
720,52129,50841,51165,52051,47971,43618,49457,54625,55680,60825,62882,53406,43092,49122,49986,38112,39039,33873,28947,32741,32973,35649,32396,30384
750,54418,53637,57027,53855,48622,47427,53729,57275,60686,69045,68555,59375,44749,51555,50627,37690,39673,34569,29155,33486,34514,37063,34235,32153
780,57769,57641,57229,52494,51392,49018,58667,60669,57973,71275,68918,57131,44355,51296,52406,38967,39920,34586,28275,33773,34910,37294,34778,31984
810,53469,53153,59533,52165,50706,45729,56225,64106,65025,72516,74920,66353,45831,49776,51129,39514,40761,35212,30410,33529,34576,37457,34892,31953
840,55963,57216,61692,57396,53090,48035,60310,65065,66457,78018,81622,68084,44839,51329,51992,39522,39510,35957,29661,35802,36461,37471,35486,32257
870,55729,55173,57865,54720,51588,47376,62451,66637,71661,81286,77845,69782,45767,53906,52898,40059,41778,35571,30647,35006,37616,37575,36557,33129
900,51741,53473,54947,55576,53012,46920,64888,67061,72935,79163,78314,67312,46400,53194,50824,40659,42996,36600,31124,36612,35539,40725,35955,33886
930,52100,52478,58678,55402,52739,50863,69037,72045,70100,77635,82988,69714,44241,52296,55429,42200,43722,37439,32229,36547,37831,39578,37633,34953
960,54537,57737,58563,60586,55316,48612,67696,75410,74696,85508,81451,74504,46694,52563,54865,42863,43624,38304,32478,38651,39710,41012,37841,35763
990,56286,56073,62541,55755,53165,48341,71398,76296,80002,82098,84994,74233,50673,53855,56765,43686,44086,37947,32247,40786,39035,42296,38133,36308
1020,57433,54502,59545,56518,52906,50045,74765,79514,79622,85031,86741,76235,47880,55392,55461,43012,46484,39402,33594,38263,40416,44557,40800,36894
1050,53929,56939,59490,56837,54447,48173,69769,75857,77743,85075,86353,74275,49955,57461,57633,44967,45908,40435,32886,39845,40427,42439,41435,38559
1080,56251,55333,64024,59551,55755,50618,74602,80359,78841,88782,87429,75820,49873,56667,60349,47133,48549,41878,35002,43035,40961,46624,43110,38163
1110,55959,53586,55039,58924,55971,48394,68555,75565,81227,82663,84737,73431,49696,55029,61300,49459,48786,41773,37910,42078,43631,45253,43892,38714
1140,57629,53812,58382,59135,55525,48573,70920,79063,84259,85767,84855,75333,49669,56129,56951,50882,49924,43496,35239,41451,41518,46355,42869,40482
1170,57490,56275,55594,56165,53684,47680,71673,76671,77320,82627,83596,72518,50255,60382,60445,50451,54320,43792,37455,42916,45367,49945,47463,40998
