0,"14,829","16,155","18,045","19,661","18,945","17,369","13,702","15,21","13,669","16,822","16,522"
30,"14,52","16,078","17,09","20,129","20,167","19,325","13,271","14,486","13,331","18,976","18,798"
60,"13,478","15,541","15,337","21,637","22,075","20,763","12,516","14,051","12,975","20,48","19,533"
90,"14,576","15,839","15,994","24,373","24,608","22,755","12,49","13,847","12,7","21,837","22,598"
120,"14,196","15,722","16,492","25,8","26,347","25,137","12,982","14,625","13,018","23,951","25,392"
150,"14,427","16,155","16,58","30,476","31,098","28,314","13,059","14,58","13,92","28,575","28,318"
180,"15,471","16,892","16,824","34,3","33,79","32,986","12,831","15,153","14,006","30,459","30,218"
210,"14,802","17,037","17,629","36,445","36,957","34,167","13,508","15,927","14,388","34,473","37,365"
240,"15,676","17,635","17,447","40,153","39,704","39,486","14,035","14,947","14,502","37,678","39,245"
270,"15,414","17,947","16,714","40,922","42,569","41,629","14,725","16,331","14,99","43,063","41,4"
300,"16,784","18,137","18,022","45,457","46,533","45,276","14,843","16,804","15,486","44,482","45,304"
330,"16,4","17,688","18,027","50,643","48,637","48,025","14,978","16,973","15,198","47,431","48,633"
360,"17,48","19,22","18,786","53,143","52,306","51,9","16,29","18,292","17,408","52,047","52,175"
390,"17,631","19,394","19,659","56,22","55,912","55,282","16,747","18,424","16,286","56,929","58,563"
420,"18,125","19,696","20,255","60,08","60,778","60,39","16,343","18,896","17,737","61,845","63,02"
450,"19,149","19,992","21,163","68,033","65,818","66,22","17,512","19,422","17,959","67,731","69,38"
480,"18,89","20,575","21,082","71,094","70,131","70,839","17,569","20,053","18,541","71,527","73,216"
510,"19,259","20,89","20,504","75,047","75,118","74,427","18,59","20,404","18,32","74,661","76,792"
540,"19,708","21,316","22,153","78,008","78,151","78,382","18,686","21,025","18,996","78,394","79,449"
570,"20,6","22,096","24,671","80,99","81,865","80,939","19,806","21,957","20,751","81,682","82,855"
600,"20,829","23,453","21,645","84,986","84,412","84,6","20,247","21,767","20,655","84,265","84,512"
630,"22,749","24,078","22,986","86,378","85,451","86,11","20,667","22,071","21,233","86,318","86,461"
660,"22,686","25,986","25,68","88,459","89,063","89,031","22,169","22,488","21,949","88,186","89,545"
690,"22,939","27,925","25,98","90,527","90,018","90,198","21,62","24,057","23,475","90,525","91,071"
720,"23,994","26,312","25,841","91,888","92,451","92,027","22,384","26,202","24,002","92,322","92,882"
750,"24,953","26,349","25,918","94,133","94,461","94,014","23,529","27,006","24,314","93,422","94,653"
780,"23,424","26,414","26,694","95,984","96,133","96,024","24,014","25,053","25,331","95,035","96,298"
810,"27,061","28,784","27,814","96,48","97,625","96,714","25,484",28,"27,573","96,869","97,22"
840,"28,896","32,42","30,718","97,806","98,28","98,212","28,388","28,829","28,516","96,91","97,941"
"873,5","29,2","30,147","30,8","99,763","99,261","99,629","27,429","28,976","26,704","98,516","97,849"
"903,5","28,533","31,263","30,298","1,00,204","99,853","99,853","29,008","31,486","30,955","97,169","96,808"
"933,5","29,502","30,696","34,161","99,967","100,2","99,79","30,814","30,188","29,878","96,873","96,931"
"963,5","32,992","35,588",36,"99,488","1,00,145","99,439","32,647","31,3","31,5","96,716","96,227"
"993,5","32,788","37,19","39,82","99,229","99,878","99,498","33,963","32,924","38,02","96,433","96,429"
"1023,5","35,145","36,269","37,402","99,122","99,484","99,276","34,908","34,576","34,261","96,68","96,486"
"1053,5","36,078","37,998","41,453","99,482","99,88","99,729","35,733","34,635","35,782","97,067","97,118"
"1083,5","39,749","44,063","44,106","98,416","98,747","98,867","38,306","38,79","42,551","96,524","96,218"
"1113,5","44,612","42,539","46,404","98,92","98,51","99,124","41,963","42,498","42,596","96,259","96,984"
"1143,5","42,89","44,243","47,396","98,865","98,965","98,898","45,092","43,661","42,322","96,841","96,392"
"1173,5","42,712","46,159","46,775","99,245","99,416","98,884","43,476","43,308","43,79","96,855","97,186"
"1204,5","45,278","48,445","47,31","99,218","98,847","98,81","45,041","45,48","50,863","96,822","97,192"
"1234,5","48,833","49,239","50,071","98,871","99,355","99,006","51,229","47,525","49,947","96,127","96,618"
"1264,5","50,161","51,996","53,788","98,202","98,673","98,416","47,206","49,202","53,724","96,967","97,131"
"1294,5","53,463","55,604","54,425","98,8","98,992","98,988","53,253","50,771","54,071","96,294","96,692"
"1324,5","55,484","56,202","56,635","98,727","98,965","99,092","52,608","52,684","55,582","96,869","97,018"
"1354,5","58,322","60,033","58,91","98,435","98,627","98,596","57,465","54,19","59,333","96,647","96,641"
"1384,5","62,596","63,684","63,827","98,524","98,571","98,594","60,002","59,057","64,19","96,561","96,659"
"1414,5","62,233","64,108","63,757","98,696","98,763","98,512","61,655","59,118","63,106","96,388","96,494"
"1444,5","66,249","68,008","68,335","98,733","98,833","99,151","65,949","62,22","64,831","96,416","96,739"
"1474,5","67,004","65,449","65,669","98,627","98,269","98,222","64,288","60,371","65,741","96,455","96,365"
"1504,5","68,245","67,502","69,104","98,171","98,341","98,504","66,576","62,504","67,327","96,159","96,535"
"1534,5","69,559","70,561","71,769","98,416","98,424","98,484","68,294","64,908","70,192","95,802","96,178"
"1564,5","71,316","71,982","72,296","97,678","98,18","97,778","71,186","65,478","71,533","95,802","95,827"
"1594,5","74,451","74,69","75,32","97,633","97,898","98,216","72,625","67,192","72,212","95,959","95,806"
"1624,5","74,459","74,684","74,959","97,984","98,084","98,082","72,467","67,076","73,79","95,665","95,29"
"1654,5","75,267","75,804","75,508","97,831","97,573","97,884","73,559","67,508","74,153","95,492","95,102"
"1684,5","74,788","75,692","76,182","97,233","97,292","97,671","73,841","67,482","74,588","95,049","95,145"
"1714,5","78,906","77,296","78,829","97,104","97,351","97,612","76,151","70,471","76,776","95,008","95,118"
"1744,5","79,827","79,686","81,431","97,278","96,959","96,724","78,01","73,071","79,082","95,098","94,908"
"1774,5","78,992","79,251","79,653","96,676","97,486","96,808","78,333","70,851","77,306","94,441","95,149"
"1804,5","81,492","81,265","80,957","96,376","96,61","96,698","78,704","71,798","79,163","94,994","94,424"
"1834,5","81,043","82,151","81,567","96,363","96,657","96,555","78,943","72,022","78,363","94,643","94,382"
"1864,5","80,943","80,116","81,349","96,253","96,278","96,447","76,708","70,504","77,104","94,894","94,514"
"1894,5","80,616","81,131","81,761","96,384","96,476","96,578","78,98","73,278","79,171","94,41","94,157"
"1924,5","82,659","81,816","81,833","95,708","96,118","96,027","79,09","72,296","79,231","94,447","93,875"
